Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2023-01-02,389.0178527832031,390.2002899324609,385.27351859492984,386.75154999618917,10501357
2023-01-03,388.1310119628906,392.5158501652902,387.244199200221,390.20026178953566,9431220
2023-01-04,379.9526062011719,389.01784729189006,379.3613876348885,389.01784729189006,16121049
2023-01-05,381.2335205078125,383.056431727586,376.89796819498815,382.21887467302815,10443908
2023-01-06,376.4053039550781,382.7115648134992,375.41994975624283,380.4452621844275,8715469
2023-01-09,383.7462158203125,386.9486170587878,379.36137748091954,380.69161170179575,14693099
2023-01-10,406.8527526855469,411.6317266814916,394.1416892222541,394.1416892222541,54021379
2023-01-11,412.07513427734375,413.848759791056,407.49321323744397,409.66100448364654,22224361
2023-01-12,406.2122497558594,414.34142152174377,404.04445859004124,414.1443386628067,12479034
2023-01-13,405.4732666015625,410.25224064246163,402.0245267884265,406.95129795004937,10449630
2023-01-16,406.9512939453125,408.8234609541806,401.63038715724684,407.4439710566264,11462140
2023-01-17,409.21759033203125,413.3068343495109,406.4586105793784,406.951287683111,12337969
2023-01-18,402.4186706542969,409.8581133020751,401.48260215691937,409.8088275470813,13310316
2023-01-19,394.8807067871094,401.8274420647837,394.24023255317036,400.5464935969057,13126520
2023-01-20,397.24554443359375,406.4586123271336,395.3241217631491,398.0831015276654,23906114
2023-01-23,402.4186706542969,404.9313420402188,399.06847221035963,401.0391807151022,13113183
2023-01-24,415.96728515625,417.79019650891627,403.9952371902256,403.9952371902256,30197475
2023-01-25,412.91265869140625,420.99257502678165,411.5824545997805,417.5438353834961,22975581
2023-01-27,439.0738525390625,446.75960353346636,428.7768887689239,431.5851543490185,63360467
2023-01-30,437.1523742675781,443.4093793007241,431.24024921023516,439.0738269394638,18316743
2023-01-31,445.4786376953125,448.1390759801651,434.44265868004845,437.2016684691763,25154475
2023-02-01,440.1084289550781,454.7409442254271,431.2402415270633,450.10976765143704,23798589
2023-02-02,438.2855529785156,442.62113568166524,434.24562465972843,440.2070057706217,11344554
2023-02-03,438.9260559082031,444.19767700774264,435.8714517662796,440.4533429438524,13067403
2023-02-06,435.52655029296875,440.4533212238847,433.1124205085706,437.94068007736695,6795084
2023-02-07,429.072509765625,436.906057820419,426.5598384467999,435.2309736784935,9023645
2023-02-08,433.6543884277344,434.5412011915516,425.22959199491174,429.07249742249246,8668267
2023-02-09,430.35345458984375,434.2456157780932,427.20030906488535,433.5558557974385,7349418
2023-02-10,439.3201904296875,441.2416131400554,424.88475694243755,431.53589800962396,14798390
2023-02-13,434.5904541015625,440.3547821355475,432.4719486041146,438.97529228167144,8333767
2023-02-14,434.0977783203125,437.7928565493605,428.03785603879845,435.5265539304605,8565559
2023-02-15,437.6450500488281,438.3840656787892,431.7329250091395,432.0778049839126,9857016
2023-02-16,435.1324462890625,441.68504608976605,434.0485505912815,438.4826447516919,7670688
2023-02-17,433.4573059082031,435.969977156765,429.61443054815857,429.61443054815857,6955445
2023-02-20,436.51190185546875,438.77820444181896,429.86076113870934,435.3294648109067,9717197
2023-02-21,430.1071472167969,438.6797415607087,428.8754543553513,438.6797415607087,8957930
2023-02-22,423.1603698730469,429.46663068906935,421.9779328141449,428.92466784097945,7209130
2023-02-23,426.85546875,430.057870029653,420.94334331064056,422.3720889161108,9278920
2023-02-24,421.48529052734375,430.30422330420834,420.7462748221526,429.0232447061681,7895024
2023-02-27,411.82879638671875,421.7808496648785,407.0005367916232,421.4852554356628,10438928
2023-02-28,414.53851318359375,418.57844124199175,412.8633990589241,412.8633990589241,9652088
2023-03-01,419.7608947753906,421.73160320156614,415.3268008164956,415.3268008164956,7595114
